transaction_id,timestamp,processed_time,sender_account,receiver_account,amount,transaction_type,location,is_fraud,fraud_probability
6652b3de-f152-48a1-9354-3745e42bd492,2025-12-06 16:24:03,2025-12-06 16:48:39,AC358834,AC817338,16075.96,PURCHASE,Pune,0,0.0004
66543216-c310-42f4-8a52-a0941158d045,2025-12-06 16:24:03,2025-12-06 16:48:39,AC835919,AC953799,5476.97,NEFT,Andra Pradesh,0,0.0014
2d3ada57-3c9d-4e82-b82c-7f6322e2ae71,2025-12-06 16:48:30,2025-12-06 16:48:39,AC752964,AC942144,1570.67,IMPS,Hyderabad,1,0.9144
268a989b-3a7f-426c-bf31-1a0ebdb6792a,2025-12-06 16:48:30,2025-12-06 16:48:39,AC913147,AC702150,11649.37,UPI,Andra Pradesh,0,0.0005
f794e738-d001-4b23-a5d0-dccfaa7ac6bb,2025-12-06 16:48:31,2025-12-06 16:48:39,AC832224,AC966564,17174.22,PURCHASE,Pune,0,0.0004
63ffeec3-29e0-427b-b29a-93cc27838a64,2025-12-06 16:48:33,2025-12-06 16:48:39,AC490150,AC774020,1895.13,UPI,Mumbai,1,0.9261
9aed74a8-c9aa-4f40-b9ba-ae380023974c,2025-12-06 16:48:35,2025-12-06 16:48:39,AC770624,AC750679,979.97,UPI,Delhi,0,0.0126
542f8381-68d7-443f-b2f2-f691906736e9,2025-12-06 16:48:35,2025-12-06 16:48:39,AC669423,AC178473,13135.31,RTGS,Bangalore,0,0.0003
f5d61d16-2e74-42c5-8c0b-2bc3fcddebf2,2025-12-06 16:48:35,2025-12-06 16:48:39,AC825205,AC746916,17643.58,DEPOSIT,Ahmedabad,0,0.0003
492518f5-86e4-49e4-92f5-dd3d472c3558,2025-12-06 16:48:35,2025-12-06 16:48:39,AC583556,AC103675,4207.44,PURCHASE,Ahmedabad,0,0.0025
77bacbb7-e751-497d-80ef-4fca72bdf97d,2025-12-06 16:48:35,2025-12-06 16:48:39,AC120527,AC114112,1551.34,WITHDRAWAL,Chennai,0,0.0031
5fd54976-02ae-49ea-b90b-a9642c4dcbaa,2025-12-06 16:48:37,2025-12-06 16:48:39,AC169613,AC113933,2813.29,WITHDRAWAL,Pune,0,0.0042
6f498a9e-9bc8-40e6-9031-87e37edf1f18,2025-12-06 16:48:37,2025-12-06 16:48:39,AC679867,AC364919,3166.71,NEFT,Bangalore,0,0.0033
5ce7ad7f-b599-41ba-b41d-cbef36c5ccd3,2025-12-06 16:48:37,2025-12-06 16:48:39,AC374310,AC395056,12411.52,PURCHASE,Hyderabad,1,0.8289
05fb7371-afa6-41f8-9f23-9bc94da618de,2025-12-06 16:48:38,2025-12-06 16:48:39,AC826995,AC359390,9617.93,DEPOSIT,Delhi,0,0.0016
6b6cd0ec-a650-478a-a832-f86908461693,2025-12-06 16:48:38,2025-12-06 16:48:39,AC323749,AC424966,15147.72,IMPS,Delhi,0,0.0003
68f5d507-77fd-47b2-a386-741ae128d24c,2025-12-06 16:48:38,2025-12-06 16:48:39,AC185035,AC207386,18095.21,TRANSFER,Pune,0,0.0003
422a1bb3-1abe-4534-8e3b-f0e69ebed673,2025-12-06 16:48:40,2025-12-06 16:48:44,AC103992,AC293434,3691.76,WITHDRAWAL,Chennai,0,0.0025
a95170fe-3e21-4ef8-acf8-66b60e165301,2025-12-06 16:48:40,2025-12-06 16:48:44,AC794017,AC726431,16004.61,RTGS,Kolkata,0,0.0003
f67df2e0-dad1-4a0a-b570-84599a4c7201,2025-12-06 16:48:40,2025-12-06 16:48:44,AC166076,AC612133,5700.78,RTGS,Delhi,0,0.0003
26f13a93-1686-4748-8101-2d941297bfd0,2025-12-06 16:48:40,2025-12-06 16:48:44,AC193372,AC832302,9201.35,DEPOSIT,Mumbai,0,0.001
acb4b120-b7bd-4ca1-ad67-68ef7c65a821,2025-12-06 16:48:41,2025-12-06 16:48:44,AC732483,AC862293,2337.64,UPI,Delhi,0,0.0017
673a74c5-297a-4622-a316-a8aa3827462a,2025-12-06 16:48:42,2025-12-06 16:48:44,AC862741,AC676784,1061.14,NEFT,Delhi,1,0.9481
a82c267d-0d32-4284-b887-05f5112a87af,2025-12-06 16:48:42,2025-12-06 16:48:44,AC421336,AC604667,568.93,UPI,Hyderabad,0,0.01
1a75d321-0185-4ab2-a3df-40f0dfe19f54,2025-12-06 16:48:42,2025-12-06 16:48:44,AC708383,AC951063,6683.36,UPI,Pune,0,0.0003
246f8bf1-5950-4048-8cc2-b5ae2c84ce12,2025-12-06 16:48:43,2025-12-06 16:48:44,AC971544,AC181028,2973.04,RTGS,Mumbai,0,0.0057
e93d671d-6760-4c4a-85c0-3643c85fb4ca,2025-12-06 16:48:43,2025-12-06 16:48:44,AC787159,AC190355,1055.47,DEPOSIT,Bangalore,0,0.0038
13204f07-8f8b-4e5d-a55e-984a5e616928,2025-12-06 16:48:43,2025-12-06 16:48:44,AC547868,AC999095,4331.17,NEFT,Chennai,0,0.0025
d750e4f1-9b5c-47fb-95c6-dc1674765278,2025-12-06 16:48:43,2025-12-06 16:48:44,AC691264,AC120407,10663.15,TRANSFER,Chennai,0,0.0016
4e805833-ad25-4d2d-b18b-f0f2969530ce,2025-12-06 16:48:44,2025-12-06 16:48:49,AC382485,AC466266,4218.84,DEPOSIT,Hyderabad,0,0.0032
94ed99d0-dc8c-4158-bd98-d9a3493f6e8c,2025-12-06 16:48:44,2025-12-06 16:48:49,AC186195,AC213531,6796.69,NEFT,Kolkata,0,0.0013
